# COLLOCATION POINTS
index,x,t,n
0,0.6868686868686869,0.18489999999999998,43
1,0.12121212121212122,0.9801,99
2,0.9696969696969697,0.5041,71
3,0.11111111111111112,0.4760999999999999,69
4,0.10101010101010102,0.5625,75
5,0.3434343434343435,0.31360000000000005,56
6,0.9797979797979798,0.0001,1
7,0.6969696969696969,0.5328999999999999,73
8,0.898989898989899,0.0225,15
9,0.15151515151515152,0.3844,62
10,0.30303030303030304,0.24009999999999998,49
11,0.4444444444444445,0.09,30
12,0.05050505050505051,0.4489000000000001,67
13,0.6666666666666666,0.3844,62
14,0.15151515151515152,0.0256,16
15,0.98989898989899,0.016900000000000002,13
16,0.6666666666666666,0.2304,48
17,0.8888888888888888,0.48999999999999994,70
18,0.31313131313131315,0.17639999999999997,42
19,0.7878787878787878,0.5328999999999999,73
20,0.8484848484848485,0.25,50
21,0.14141414141414144,0.8835999999999999,94
22,0.98989898989899,0.31360000000000005,56
23,0.9696969696969697,0.9801,99
24,0.5959595959595959,0.5776,76
25,0.9595959595959596,0.019600000000000003,14
26,0.7070707070707071,0.25,50
27,0.25252525252525254,0.0961,31
28,0.30303030303030304,0.1296,36
29,0.21212121212121213,0.6400000000000001,80
30,0.04040404040404041,0.6889,83
31,0.4141414141414142,0.9801,99
32,0.6161616161616161,0.5776,76
33,0.04040404040404041,0.5328999999999999,73
34,0.4646464646464647,0.0484,22
35,0.98989898989899,0.2025,45
36,0.05050505050505051,0.7055999999999999,84
37,0.6868686868686869,0.6241000000000001,79
38,0.494949494949495,0.24009999999999998,49
39,0.6969696969696969,0.0529,23
40,0.8383838383838383,0.0729,27
41,0.11111111111111112,0.1936,44
42,0.9797979797979798,0.8835999999999999,94
43,0.9191919191919192,0.06760000000000001,26
44,0.3434343434343435,0.0576,24
45,0.6666666666666666,0.0841,29
46,0.6767676767676767,0.4096,64
47,0.4444444444444445,0.0576,24
48,0.9393939393939393,0.48999999999999994,70
49,0.898989898989899,0.0361,19
50,0.4444444444444445,0.5041,71
51,0.8282828282828283,0.8649000000000001,93
52,0.24242424242424243,0.5625,75
53,0.9797979797979798,0.09,30
54,0.12121212121212122,0.016900000000000002,13
55,0.7373737373737373,0.5625,75
56,0.9191919191919192,0.0256,16
57,0.21212121212121213,0.0361,19
58,0.6464646464646464,0.3721,61
59,0.8787878787878788,0.4489000000000001,67
60,0.04040404040404041,0.4489000000000001,67
61,0.4040404040404041,0.0144,12
62,0.07070707070707072,0.0529,23
63,0.15151515151515152,0.0036,6
64,0.06060606060606061,0.18489999999999998,43
65,0.3535353535353536,0.004900000000000001,7
66,0.13131313131313133,0.48999999999999994,70
67,0.7272727272727273,0.6241000000000001,79
68,0.797979797979798,0.7744,88
69,0.2828282828282829,0.5328999999999999,73
70,0.6666666666666666,0.0064,8
71,0.10101010101010102,0.0729,27
72,0.7070707070707071,0.8649000000000001,93
73,0.9191919191919192,0.0016,4
74,0.6666666666666666,0.028900000000000006,17
75,0.38383838383838387,0.7224999999999999,85
76,0.05050505050505051,0.27040000000000003,52
77,0.8383838383838383,0.04409999999999999,21
78,0.7575757575757576,0.34809999999999997,59
79,0.9494949494949495,0.48999999999999994,70
80,0.9191919191919192,0.0225,15
81,0.393939393939394,0.0361,19
82,0.393939393939394,0.30250000000000005,55
83,0.7171717171717171,0.9025,95
84,0.48484848484848486,0.2601,51
85,0.898989898989899,0.0961,31
86,0.7373737373737373,0.0016,4
87,0.13131313131313133,0.09,30
88,0.07070707070707072,0.27040000000000003,52
89,0.13131313131313133,0.11560000000000002,34
90,0.5959595959595959,0.07840000000000001,28
91,0.98989898989899,0.004900000000000001,7
92,0.7373737373737373,0.0324,18
93,0.8181818181818181,0.7224999999999999,85
94,0.4444444444444445,0.1444,38
95,0.020202020202020204,0.0256,16
96,0.6666666666666666,0.48999999999999994,70
97,0.7070707070707071,0.5328999999999999,73
98,0.020202020202020204,0.8835999999999999,94
99,0.48484848484848486,0.0001,1
100,0.8080808080808081,0.5041,71
101,0.42424242424242425,0.16000000000000003,40
102,0.21212121212121213,0.0064,8
103,0.010101010101010102,0.4760999999999999,69
104,0.09090909090909091,0.5476,74
105,0.898989898989899,0.9409,97
106,0.020202020202020204,0.2916,54
107,0.4545454545454546,0.0841,29
108,0.7575757575757576,0.0004,2
109,0.6565656565656566,0.07840000000000001,28
