epoch,point_type,index,x,t,n_or_u_target
1,collocation,0,0.49246231155778897,0.6561000000000001,81
1,collocation,1,0.32160804020100503,0.016900000000000002,13
1,collocation,2,0.4371859296482412,0.6561000000000001,81
1,collocation,3,0.04522613065326633,0.4489000000000001,67
1,collocation,4,0.7738693467336684,0.18489999999999998,43
1,collocation,5,0.5979899497487438,0.0729,27
1,collocation,6,0.3316582914572864,0.0144,12
1,collocation,7,0.7788944723618091,0.2916,54
1,collocation,8,0.5527638190954773,0.010000000000000002,10
1,collocation,9,0.7035175879396985,0.42250000000000004,65
1,collocation,10,0.32160804020100503,0.18489999999999998,43
1,collocation,11,0.1658291457286432,0.6241000000000001,79
1,collocation,12,0.507537688442211,0.07840000000000001,28
1,collocation,13,0.6884422110552764,0.25,50
1,collocation,14,0.08040201005025126,0.0361,19
1,collocation,15,0.9698492462311558,0.10890000000000001,33
1,collocation,16,0.6080402010050251,0.0324,18
1,collocation,17,0.5376884422110553,0.0009,3
1,collocation,18,0.4321608040201005,0.0961,31
1,collocation,19,0.9748743718592965,0.39690000000000003,63
1,collocation,20,0.4371859296482412,0.1296,36
1,collocation,21,0.9849246231155779,0.6889000000000001,83
1,collocation,22,0.4623115577889447,0.1521,39
1,collocation,23,0.5125628140703518,0.0064,8
1,collocation,24,0.3869346733668342,0.5625,75
1,collocation,25,0.25125628140703515,0.8464,92
1,collocation,26,0.271356783919598,0.7921,89
1,collocation,27,0.7386934673366834,0.7055999999999999,84
1,collocation,28,0.5829145728643216,0.8836000000000002,94
1,collocation,29,0.7688442211055276,0.81,90
1,collocation,30,0.4020100502512563,0.16810000000000003,41
1,collocation,31,0.964824120603015,0.04000000000000001,20
1,collocation,32,0.7839195979899497,0.39690000000000003,63
1,collocation,33,0.3969849246231156,0.0324,18
1,collocation,34,0.9447236180904522,0.4489000000000001,67
1,collocation,35,0.010050251256281407,0.5776,76
1,collocation,36,0.6130653266331658,0.2025,45
1,collocation,37,0.8743718592964824,0.7744,88
1,collocation,38,0.135678391959799,0.3364,58
1,collocation,39,0.4472361809045226,0.9216,96
1,collocation,40,0.31155778894472363,0.0144,12
1,collocation,41,0.6432160804020101,0.3721,61
1,collocation,42,0.8190954773869347,0.9801,99
